YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION
1995,10,31,,,31.6,130.7,SW. KYUSHU ISLAND,JAPAN,Japan
1995,2,2,,,38.3,26.2,"E. SPORADES ISLANDS, AEGEAN ISLANDS",GREECE,Mediterranean Sea
1995,11,21,,,31.6,130.7,SW. KYUSHU ISLAND,JAPAN,Japan
1995,12,25,,,1.37,125.1,N. MOLUCCAS ISLANDS,INDONESIA,Indonesia (Pacific Ocean) and Malaysia
1995,9,12,,,-14.214,-169.59,"MANUA ISLANDS, AMERICAN SAMOA",USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is."
1995,11,14,,,62.366,17.333,SWEDEN: SUNDVAL,SWEDEN,Northeast Atlantic Ocean
1995,10,19,,,-31.61,-71.18,CENTRAL CHILE,CHILE,West Coast of South America
1995,1,31,,,36.4,25.3,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea
1995,3,1,,,26.2,127.5,RYUKYU ISLANDS,JAPAN,Japan
1995,10,22,3,45,37.8,-122.4,N. CALIFORNIA,USA,West Coast of North and Central America
1995,9,16,,,14.55,120.9,W. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan"
1995,11,19,,,-3.7,128.2,"AMBON ISLAND, BANDA SEA",INDONESIA,Indonesia (Pacific Ocean) and Malaysia
